data(cora,edge0.5), model(none,gcn,no),        	 lr(0.01), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 85.49 $\pm$ 0.57
data(cora,edge0.5), model(none,gcn,no),        	 lr(0.01), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 84.17 $\pm$ 0.53
data(cora,edge0.5), model(none,gcn,no),        	 lr(0.01), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 85.49 $\pm$ 0.57
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.01), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 88.12 $\pm$ 0.67
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.01), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 88.09 $\pm$ 0.71
data(cora,edge0.5), model(none,gcn,no),        	 lr(0.01), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 85.49 $\pm$ 0.57
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.01), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 88.15 $\pm$ 0.63
data(cora,edge0.5), model(none,gcn,label),        	 lr(0.005), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 1.41 $\pm$ nan
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.005), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 2.44 $\pm$ nan
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.005), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 6.62 $\pm$ nan
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.005), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 6.49 $\pm$ nan
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.005), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 19.17 $\pm$ nan
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.005), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 35.18 $\pm$ nan
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.005), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 6.14 $\pm$ nan
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.005), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 3.53 $\pm$ nan
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.005), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 13.82 $\pm$ nan
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.005), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 4.92 $\pm$ nan
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.005), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 1.84 $\pm$ nan
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.005), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 15.21 $\pm$ nan
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.005), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 9.83 $\pm$ nan
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.01), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 13.06 $\pm$ nan
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.05), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 7.37 $\pm$ nan
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.05), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 12.90 $\pm$ nan
data(cora,edge0.5), model(none,gcn,gkd),        	 lr(0.05), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 6.45 $\pm$ nan
data(cora,edge0.8), model(none,gcn,gkd),        	 lr(0.05), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 6.76 $\pm$ nan
data(cora,edge0.8), model(none,gcn,gkd),        	 lr(0.05), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 7.37 $\pm$ nan
data(cora,edge0.8), model(none,gcn,gkd),        	 lr(0.05), wd(0.05), alpha(0.2), t(1.0), dt(0.1) 	perf: 8.76 $\pm$ nan
data(cora,edge0.8), model(none,gcn,gkd),        	 lr(0.05), wd(0.05), alpha(0.8), t(1.0), dt(0.1) 	perf: 5.68 $\pm$ nan
data(cora,edge0.8), model(none,gcn,gkd),        	 lr(0.05), wd(0.05), alpha(0.5), t(1.0), dt(0.1) 	perf: 8.60 $\pm$ nan
